dnumber,dname,mgr_ssn,mgr_start_date
1,Research,786579303,2003-01-24
2,Engineering,395310485,2007-04-05
3,Marketing,890779946,2003-11-24
4,Sales,685582861,2002-10-14
5,Finance,134126396,2000-02-07
6,Human Resources,349817734,2016-10-01
7,Operations,702632297,2006-12-21
8,Legal,853041955,2017-07-08
9,IT Support,582334538,2018-05-26
10,Product,106977991,2005-12-14
11,Design,465341213,2008-03-07
12,Quality Assurance,919795579,2010-02-03
13,Supply Chain,507943839,2003-06-28
14,Customer Service,469319644,2019-05-26
15,Accounting,146654552,2014-09-04
16,Business Development,506448196,2002-09-10
17,Public Relations,990566476,2020-10-28
18,Procurement,488302652,2018-04-23
19,Security,174684276,2001-11-08
20,Compliance,930075810,2009-02-28
21,Data Analytics,349957310,2003-07-09
22,Infrastructure,586845604,2020-06-06
23,Training,497478786,2011-04-22
24,Administration,386665249,2020-02-20
25,Strategy,781802744,2005-09-24
26,Innovation,362863730,2005-08-13
27,Logistics,389854268,2020-12-18
28,Facilities,335809993,2010-01-08
29,Risk Management,982403818,2001-06-13
30,Corporate Affairs,387484583,2002-04-19
31,Internal Audit,870854579,2010-04-21
32,Treasury,636045484,2012-11-15
33,Investor Relations,253407200,2008-03-08
34,Tax,899925830,2017-09-09
35,Payroll,902099969,2018-07-19
36,Recruitment,528853029,2011-04-05
37,Benefits,647099690,2015-02-25
38,Compensation,150590821,2003-03-21
39,Employee Relations,271779360,2013-10-03
40,Diversity,513140753,2012-10-15
41,Digital Transformation,668132202,2008-09-28
42,Cloud Services,112327652,2003-11-18
43,Cybersecurity,906248900,2008-11-11
44,Architecture,219778234,2009-07-06
45,DevOps,587182120,2000-12-24
46,Mobile Development,382811832,2016-03-17
47,AI Research,214257751,2020-05-27
48,Robotics,786066793,2016-10-07
49,Automation,264109919,2011-03-18
50,Sustainability,936043811,2016-01-20
