ssn,fname,minit,lname,bdate,address,sex,salary,superssn,dno
357069675,Andrew,G,Thompson,1974-04-27,5588 Park Way,F,54308.32,,29
199190212,Emily,J,Lee,1965-04-12,4677 Main Way,F,53769.01,,45
532557724,Steven,J,Hall,1978-08-16,5462 Lake St,M,115021.15,,31
983244394,Mark,J,Ramirez,1980-07-27,2539 Elm Ln,M,88200.07,,10
873074192,Mark,G,Nguyen,1995-10-25,7575 Oak Rd,F,98176.04,,33
780104381,Kenneth,W,Jones,1964-11-05,8453 Main Ave,F,86740.0,,6
427487069,Jennifer,K,Torres,1995-08-18,3104 Washington Way,M,38019.28,,30
775890502,Daniel,A,Hernandez,1981-08-11,5616 Elm Blvd,F,59815.83,,31
522240582,Steven,R,Thomas,1968-10-12,897 Oak Rd,F,37925.56,,1
273265999,David,A,Hill,1961-03-10,2134 Park Way,M,30086.09,,50
663665435,Joshua,D,White,1962-02-09,5568 Maple Ave,M,94933.48,,39
285627380,David,G,Gonzalez,1963-01-14,1383 Washington Dr,M,128434.06,,18
826764882,Christopher,H,Roberts,1962-06-08,1706 Pine Way,M,68819.21,,16
742178343,Mark,L,Rodriguez,1972-06-21,748 Park Way,F,117571.62,,16
776690635,Margaret,P,Lee,1956-07-22,2038 Park St,M,118274.88,,39
846698400,Deborah,K,Rodriguez,1988-09-14,802 Maple St,F,50894.33,,27
861314243,Emily,S,Robinson,1986-02-28,2525 Elm Ln,M,46485.38,,20
313796035,John,B,Lewis,1967-01-19,5923 Oak Ln,F,74019.38,,2
686291021,Richard,L,Gonzalez,1976-05-10,4596 Pine Blvd,F,21109.4,,21
707906889,David,H,Green,1981-11-12,3792 Cedar Way,M,117808.22,,4
826991279,Kevin,C,Allen,1980-04-16,5306 Lake St,F,71682.54,,47
139956218,Lisa,S,Davis,1961-04-18,2322 Washington Ct,F,103639.23,,1
510753814,Michelle,H,Young,1992-03-08,7655 Cedar Ct,F,103347.59,,1
884185895,Donna,L,Torres,1984-12-16,2843 Elm Way,M,112147.86,,50
733036411,Brian,W,Baker,1993-10-22,9504 Main Ct,F,31828.4,,33
384528891,Betty,H,Anderson,1971-05-03,9446 Washington Dr,M,114065.47,,32
965073062,Andrew,B,Thompson,1959-07-20,1420 Park Ct,M,55166.09,,4
583724666,Brian,S,Jackson,1957-04-10,4732 Lincoln Ave,M,123912.96,,1
897940629,Brian,W,Clark,1992-12-24,2631 Washington Ave,F,99252.56,,1
101101330,Michelle,F,Robinson,1961-11-03,5260 Main Way,M,117179.1,,4
380004069,Emily,P,Jackson,1964-04-11,3868 Washington Dr,F,91583.53,,45
890954267,Karen,P,Hall,1955-07-27,6877 Washington Rd,M,126174.2,,33
699170422,Donald,E,Mitchell,1979-05-28,9509 Washington Dr,M,43069.29,,7
984609061,Sarah,L,Martinez,1981-09-02,6745 Cedar Way,M,116893.15,,30
142307777,John,E,Martin,1978-11-08,9706 Pine Ave,M,37046.63,,9
933737960,Kimberly,K,Flores,1994-12-15,9649 Maple Ct,M,92935.2,,25
760711935,Ashley,C,Gonzalez,1957-11-15,2912 Main Ave,M,46545.2,,26
964778305,Deborah,W,Hill,1969-06-10,4761 Lake Blvd,F,87556.66,,17
741234259,Thomas,C,Miller,1990-01-02,5553 Pine Ct,F,149576.13,,44
630536354,Emily,R,Anderson,1956-01-05,4403 Cedar Ct,M,104995.69,,20
510840544,Kenneth,K,Sanchez,1963-09-02,5520 Maple St,F,126119.57,,19
819068385,Kevin,G,Roberts,1994-03-26,4933 Pine Ln,F,46580.38,,31
442863523,Paul,E,Lee,1987-12-08,2609 Oak Way,F,117869.23,,38
547570239,Daniel,A,Martin,1993-07-06,7532 Pine Blvd,M,70094.24,,29
216159122,Nancy,B,Robinson,1960-04-17,795 Washington Ct,M,52045.39,,31
876539211,Susan,E,Wright,1966-04-26,243 Maple Blvd,F,86721.97,,3
323110563,Kenneth,G,Taylor,1960-03-08,2947 Park Ave,M,50215.06,,1
801835431,David,P,Hernandez,1958-02-11,3467 Pine Way,F,105877.73,,21
855737029,Deborah,N,Smith,1978-04-17,4746 Cedar Rd,F,129002.94,,28
998475164,Thomas,R,Ramirez,1955-02-02,9192 Oak Ave,M,25034.95,,3
695088987,Jennifer,L,Harris,1955-05-14,6453 Elm Dr,M,109091.08,,12
457865348,Daniel,W,Jones,1958-09-07,6032 Park Dr,M,128959.38,,27
556602863,Barbara,K,Flores,1973-06-04,4541 Lincoln Ln,F,125393.52,,47
608070753,Daniel,H,Baker,1995-07-14,6639 Elm Rd,F,97615.04,,13
854517058,Timothy,K,Perez,1977-01-06,2447 Lake Way,M,24256.24,,1
323769841,Paul,A,Nelson,1966-08-21,5039 Park Ave,M,119366.81,,20
478082887,Joshua,W,Allen,1968-12-04,832 Pine St,M,38416.75,,15
887700486,Sarah,H,Hall,1977-05-05,1782 Washington Rd,M,28487.31,,4
344507704,David,N,Green,1992-05-20,6854 Park Rd,M,75448.03,,24
902182950,Sandra,A,Thompson,1967-02-07,4767 Oak Blvd,F,74737.25,,23
829392084,Michael,E,Carter,1981-01-09,2178 Main Dr,M,112481.33,,17
